2019,2020,2021,2022,2023,2024,2025
34.30164,25.82143,15.58192,33.44614,148.49216,55.68693,31.20045
33.87006,24.24159,14.52392,32.49535,148.9909,53.48663,29.88292
35.30127,27.8,20.14198,32.32803,156.58161,53.75935,31.8082
40.31096,33.72576,29.65996,41.59165,180.63862,62.23497,39.38845
54.50788,40.30721,38.05346,63.07798,187.42828,78.21708,51.49044
73.17957,45.99577,55.81519,78.45219,200,82.09656,54.07401
67.8729,44.3315,50.58902,75.99491,187.02318,80.51189,53.17681
61.58571,44.50699,44.00369,65.58829,184.29118,79.27791,52.68285
53.81963,44.06363,41.0674,60.6625,180.29024,76.26072,52.04324
49.87949,41.04218,39.30032,56.53093,170.09911,76.96604,50.85574
41.19354,37.34307,35.31033,53.20301,161.76221,75.6307,50.51964
38.42592,34.99613,33.72362,51.22335,151.31811,68.77267,49.71597
34.13786,33.34437,33.65,49.58,142.32732,70.41033,44.18432
33.65805,31.51507,32.21977,48.56859,137.08668,68.90927,43.94467
32.19459,31.54643,32.93287,48.30677,134.92612,69.04828,44.167
32.4365,32.01772,32.39605,48,133.56014,68.76065,44.28164
34.20129,36.68441,32.59007,50.5435,137.06314,69.14147,44.36862
39.30811,39.9239,35.37845,56.4374,148.92688,79.36523,47.16091
51.59152,53.09001,40.76269,79.14979,173.02968,92.53142,53.12532
50.58466,48.96067,36.78395,85.4892,184.26302,88.88168,50.03351
37.50583,38.85095,30.50476,62.66773,178.91403,73.67116,37.9863
33.71873,35.71091,24.82486,56.04763,161.05537,71.27871,31.68931
33.15388,32.01194,17.81868,51.73204,149.29425,69.04652,30.42454
32.91852,31.91746,15.14,48.56413,141.48842,69.16737,27.21624
30.42644,29.58077,11.87842,47.34154,135.99613,66.61113,25.71026
31.49101,26.79938,9.86364,45.968,135.95466,65.86177,25.63298
33.32804,27.53095,16.51687,49.0905,135.14742,67.25478,26.98858
36.20927,35.68548,27.69022,58.52719,144.99945,75.05127,31.96
49.11341,39.68557,37.54594,76.46702,182.66146,94.506,45.05045
69.23294,50.63852,52.91475,91.18279,193.87268,97.32646,47.77118
67.15956,51.26747,51.62952,83.5238,188.40392,96.96951,47.43556
59.54113,43.23852,43.80739,75.50114,184.17437,94.44257,45.22988
51.72444,41.79336,41.98406,69.20281,179.6266,91.81733,45.00522
45.27915,39.67485,39.39847,65,173.06946,91.95069,44.169
40.30467,38.98543,35.06684,59.98552,163.0404,79.89092,43.29566
37.87716,36.7526,33.15152,53.8542,156.77709,75.42564,41.90836
35.46649,35.7839,32.15245,47.42694,148.59851,74.10714,42.09367
33.96414,32.71606,31.17636,46.91966,143.07748,73.56933,40.89719
33.07473,31.30182,31.04527,45.91696,140.83519,73.18638,41.62899
32.32325,31.31798,30.87338,46.19243,141.15774,73.75042,41.07239
35.5968,32.49613,32.41531,47.2898,148.26724,74.12291,41.55931
41.48087,36.64605,38.81706,53.79815,166.89945,86.29581,41.83101
52.72519,38.27899,47.23424,67.57533,182.90991,103.41495,43.83127
50.35443,38.4251,47.35917,76.24587,184.98022,98.84292,42.38708
38.1968,34.76045,36.27789,55.52999,163.38968,91.27869,16.80731
34.71124,25.99114,34.28109,46.08949,152.00977,86.8853,14.38213
33.25997,19.43439,30.3895,44.17508,144.58353,86.02,11.69
31.59221,17.83431,27.74567,37.15414,143.60362,84.85113,11.03
32.96099,13.26074,26.56119,34.9,141.08321,70.69944,8.96602
32.99305,11.51673,25.59,37.46258,138.05906,66.23958,7.46828
33.33231,18.66375,26.67505,36.99189,143.15759,71.90378,9.13826
38.56673,29.40595,32.24696,46.7309,161.76418,89.01226,16.2532
45.52203,36.88331,43.54052,68.91352,191.35649,103.49702,45.23606
63.99201,38.56626,59.738,85.43,197.48902,111.49114,50
56.88566,42.16216,56.87964,76.32678,189.73196,112.11252,49.86304
51.5576,40.62278,57.37904,71.33294,186.51899,109.98658,49.60404
43.60295,39.93941,49.19279,65.99882,184.73316,107.64016,50.20662
