2019,2020,2021,2022,2023,2024,2025
40.80757,36.86701,31.17987,52.37234,132.96608,223.63966,59.99794
44.09976,30.29626,31.39784,53.55874,134.22313,214.36719,53.85798
43.23343,28.71688,30.88228,50.33705,127.35727,211.78112,53.44779
42.35145,28.18421,30.95305,49.14846,126.64347,213.11485,53.43329
42.79029,28.55966,30.85903,49.48573,126.41309,212.70235,53.51924
43.70238,31.74519,31.3913,49.55309,134.09222,217.79844,56.12666
47.12031,36.95984,33.95984,52.59818,137.83375,222.73403,61.3236
57.5971,48.35861,39.09572,57.98345,155.83694,225.80166,67.84141
67.9105,47.73032,37.18282,55.74856,167.27161,233.88,68.06545
49.39667,37.12339,30.11182,45.16498,159.544,235.7269,52.19198
45.02899,33.83353,26.1896,41.39546,143.63069,219.92804,42.84833
41.31618,30.80804,21.78299,37.95,133.54941,212.03387,38.15423
39.36554,29.32986,19.51045,32.00001,123.17403,210.47927,32.70119
37.98619,27.53636,17.68972,29.99999,117.83317,205.3056,29
38.7576,26.97154,17.32814,25.78942,114.78013,205.70745,26.72955
40.35324,28.70655,22.94787,30.29701,114.65507,204.00576,28.9692
46.24837,32.25473,31.73587,44.24352,129.74722,211.44466,38.44334
65.53586,41.19298,41.12746,63.23132,163.5149,242.27425,60.64339
75.01206,49.86211,49.84458,76.29962,187.66568,228.15581,66.02299
74.59778,49.84937,48.85304,76.80133,181.91799,241.38212,66.6739
67.06356,45.74438,44.81701,66.42888,175.79134,241.06545,65.07593
56.35543,41.9235,41.69873,64.37488,170.67773,238.46591,61.76712
49.80309,38.74538,39.42563,58.16869,161.15594,225.01601,60.6262
46.81471,33.57489,34.37192,56.1212,148.53128,213.63749,58.3276
43.38802,32.04343,33.92663,51.81189,138.11441,206.3422,54.934
41.40247,28.9601,31.84046,52.80224,135.47574,84.36485,53.42127
40.79474,27.9043,31.11806,50.24095,131.59135,76.40267,52.53
40.2084,26.4261,31.42775,49.0111,129.57038,77.09047,51.02446
40.90484,27.86479,31.62504,48.61282,129.66256,75.52148,51.1064
41.8628,29.03934,31.55483,50.19432,134.28291,79.34889,52.06234
45.55186,35.53872,33.65784,53.55614,145.07597,84.87957,56.86469
61.32,48.97812,35.54402,62.14683,166.37555,93.17176,60.98686
63.66792,43.643,32.80823,62.61467,170.95761,95.81677,62.15937
57.70048,34.0143,22.86246,55.61088,144.6045,89.86578,47.88732
56.54841,28.59536,14.16903,50.42554,127.84274,87.86929,43.92265
52.14622,26.08255,9.72561,47.11403,121.43678,85.14465,42.48316
47.11483,23.50118,7.87712,44.80898,109.12818,77.91666,38.38924
43.30437,22.09333,6.59156,44.67107,108.67383,69.82703,34.15019
44.25684,21.8379,7.55085,44.70687,108.68,67.58969,33.07381
45.35511,24.7613,15.28246,46.15971,111.78001,69.03216,35.08612
52.51137,28.95705,26.66752,51.89685,123.01598,73.2011,43.52522
