MDH,2019,2020,2021,2022,2023,2024,2025
01-08 23,0.297106655953086,0.352521989918593,0.160494154101004,0.232574704646543,0.287073145315637,0.319355956669849,0.197774084183645
01-09 00,0.304735303427191,0.316508253086926,0.243793223204844,0.393906625345019,0.353722695058991,0.597577835178175,0.44549155741555
01-09 01,0.379819439793405,0.419743169479181,0.277418699851357,0.40722348499499,0.383138798784641,0.655904866414681,0.567740890570274
01-09 02,0.425348134482346,0.458759381259563,0.349543617949609,0.399729369429159,0.367743112162529,0.652247491234828,0.448351320809148
01-09 03,0.443780367488155,0.507946210077995,0.537248309749715,0.405448712333644,0.355823871784335,0.656782989449348,0.434844972922115
01-09 04,0.419008476382343,0.553264907800941,0.468685242683779,0.446670730340535,0.361646708391272,0.654471094814619,0.452000858596965
01-09 05,0.352072649535964,0.599944782299288,0.565231865933627,0.428629195271708,0.345589728289995,0.639468194934448,0.481959966753245
01-09 06,0.306481761566257,0.377383144481207,0.364355450203421,0.441392485847647,0.327346006513802,0.543208076167954,0.439110979902562
01-09 07,0.288474022270911,0.266212703960771,0.314815772570389,0.371728349426874,0.289160486407335,0.478492287356148,0.413950899322771
01-09 08,0.300064413886122,0.262499925683996,0.322132823495938,0.363242042817461,0.311231164122546,0.440918914687893,0.418831962627773
01-09 09,0.270974086982722,0.224335019391623,0.338301588283516,0.341939344750444,0.314271832902244,0.445325676346879,0.397247932879498
01-09 10,0.264470521817803,0.216278605928844,0.35410349893477,0.344212310129921,0.324467368051477,0.435603000351906,0.393589129590365
01-09 11,0.268383694860824,0.207662654090636,0.337469004420677,0.351889539784814,0.31753233569033,0.414562735249267,0.395855512219713
01-09 12,0.298608825350972,0.22937984144078,0.315615228595983,0.341804709283416,0.329137996276814,0.44695721444491,0.390478771237291
01-09 13,0.263367601278835,0.217805787886056,0.3248368815163,0.344967307295054,0.349947511303475,0.485309399447005,0.408272764116637
01-09 14,0.322546088558956,0.384964389086879,0.547867777335956,0.363193609575254,0.388121292782032,0.482935217695852,0.392484283737163
01-09 15,0.346590808510769,0.310772481260734,0.526503054359981,0.372659562947206,0.414923229813544,0.474643508470884,0.395231088028936
01-09 16,0.236378522390242,0.283067762240507,0.305047645765141,0.22217887321777,0.456806020076222,0.247934303477168,0.278452847668302
01-09 17,0.131005074508661,0.219716470677734,0.294713614075267,0.0712597300724319,0.438188271585524,0.100859841038961,0.128576836335375
01-09 18,0.0410587217425491,0.375138745751309,0.248413274274367,0.0117021351593678,0.387836351140497,0.0618770288395476,0.111079883765311
01-09 19,0.0450766555077964,0.102835024036373,0.227047116823177,0.011404449970113,0.353613401715185,0.0331276314369501,0.0837350601072976
01-09 20,0.0750236398544955,0.146425120265556,0.213305917538228,0.0336497324458079,0.353695423520337,0,0.0467877173168938
01-09 21,0.0701240029180077,0.100319401063221,0.178947377504341,0,0.391310982909393,1.48481273565145e-05,0.00772269071496916
01-09 22,0.184190968105545,0.121369329994358,0.206374399138953,0,0.433114342278196,0.221915662371177,0
01-09 23,0.212827018230572,0.182204335702798,0.292593263627894,0.142922893299169,0.435799409531502,0.305077461013825,0.137698860881591
01-10 00,0.21647901103972,0.310746477061545,0.486254270133553,0.421964960070146,0.398727711300458,0.428491987163804,0.505393959289101
01-10 01,0.303335299440591,0.339159112447646,0.416107967713084,0.40134207775883,0.416280540842886,0.477089605462924,0.622461302208873
01-10 02,0.367979414083055,0.440399760964833,0.426124464382125,0.363215450238217,0.408303980983667,0.461284079396732,0.447652456698125
01-10 03,0.552341407244704,0.529661524391132,0.414983493943871,0.37429654948489,0.391709964410707,0.476401027264349,0.581274289294201
01-10 04,0.372898572944272,0.608554433721674,0.476613409891541,0.404037295955592,0.395156860034888,0.476594325798073,0.470807511953727
01-10 05,0.275946814464907,0.444345907449878,0.507486030673037,0.406371828796083,0.367928605085983,0.467614773958944,0.48185963125797
01-10 06,0.300385801549186,0.410216990262093,0.423590912833023,0.392938427264816,0.344114702408786,0.454501997017176,0.410026106290361
01-10 07,0.242705255821372,0.373513664761092,0.332132230301985,0.359126332277035,0.316388360462982,0.429414997302053,0.402308695254864
01-10 08,0.239809078584519,0.455655945489134,0.333079995300626,0.369018570788137,0.284142131480067,0.375092537781998,0.401282956079441
