2019,2020,2021,2022,2023,2024,2025
36.25302,30.49793,31.38739,44.45814,146.25426,73.14429,44.92012
35.44043,28.74241,30.25116,42.63758,139.59913,72.35247,44.31055
34.10424,27.96116,29.92579,42.84405,143.61428,72.54342,43.92251
34.44138,28.21676,30.02067,42.49326,139.61648,72.58882,44.02712
36.24375,29.95574,30.62483,42.45847,139.55959,74.00059,44.93697
41.48869,39.15203,36.11352,44.78985,139.04349,92.04862,49.92957
52.71445,44.6599,44.82257,58.68394,141.81529,109.12921,53.88718
71.20346,46.29009,45.39054,60.07004,142.98922,104.68979,54.09005
51.59063,42.72528,34.07034,47.09043,134.24694,60.22964,44.44012
45.60686,39.31922,29.96362,40.36421,122.33226,54.3111,33
41.62233,35.58158,25.78209,37.27889,107.96096,46.19687,29.01579
39.42956,37.23682,23.47701,30.67126,105.75331,44.57159,27.40365
44.58225,33.16812,21.09988,26.7919,101.42294,40.77829,25.77466
36.47928,30.97998,19.277,24.07307,99.53475,38.34991,21.29107
39.24794,35.67766,21.57186,26.28352,105.86073,41.17605,25.06406
42.26587,39.12985,27.53701,41.0634,132.73345,65.63292,39.54762
61.92258,51.49327,38.78998,61.82635,166.67153,103.50496,51.66247
78.95309,61,47.97471,74.98538,181.06538,107.72693,54.26999
65.41957,53.86521,43.13133,75.38537,173.01813,107.5749,53.88784
64.54078,53.64584,39.16159,66.33309,168.84421,105.65139,53.75419
54.19001,50.55267,36.7464,62.49148,167.67153,105.20204,53.47955
49.15791,45.38854,35.1077,59.15403,160.41569,104.78567,52.74388
41.96981,36.45886,32.15328,54.16484,148.95232,97.72259,51.67297
38.44885,30.85184,31.09648,47.88574,140.98744,94.05987,47.65218
37.46152,31.04,31.46934,46.0242,146.76541,78.44002,50.13381
36.88734,29.64277,30.15545,46.66561,143.6831,72.83776,47.95283
35.32476,29.17926,28.9321,45.49114,139.34956,72.63838,47.60415
35.89969,29.4562,29,46.29524,138.8722,72.7108,47.41908
37.43609,31.7498,30.16833,46.56008,140.47448,74.81415,48.61267
42.0225,36.71582,34.34377,50.16336,156.29214,83.67088,52.2111
51.11184,45.63,38.99459,57.54092,168.07312,96.84162,60.25187
52.91723,47.92558,37.7153,52.55452,181.45198,85.12486,58.01519
38.13825,46.20806,29.21817,35.93171,170.19201,61.50512,40.01161
34.78445,42.84742,24.70832,14.57281,151.48999,51.72086,23.24717
30.90461,40.92133,20.42259,8.98979,155.81735,46.397,22.00038
30.5049,40.46162,18.14605,5.90167,149.1105,39.58655,21.66521
28.10911,34.11149,13.96375,5.79114,148.16652,31.51299,19.1878
28.42631,31.50006,13.05601,7.55517,149.43787,24.64141,17.45976
28.8682,35.61689,17.61209,10.37999,157.9798,26.37404,18.91954
38.10176,39.97239,27.7017,38.51518,184.73241,57.34507,34.40928
53.56165,52.93645,36.08336,61.1378,194.96904,74.02,50.44948
72.59566,66.7682,52.64295,74.99144,208.29502,77.42681,51.52249
67.59485,52.90764,47.95122,72.74859,193.76584,76.41277,50.76001
60.93557,54.3483,41.45314,63.49896,190.80131,76.16718,50.90343
53.37958,55.4325,39.20309,60.65986,187.08672,75.99742,51.19668
47.97107,51.81178,37.43855,56.53894,176.7428,76.20334,50.49523
40.30139,39.24772,33.6748,52.02504,167.71008,75.04638,50.46362
37.62419,35.27438,32.02382,50.0585,158.49789,68.54944,49.88716
33.57594,33.26425,32.04028,48.66712,146.92973,69.5636,44.36066
32.9823,31.30114,30.79798,47.98965,142.05054,68.8348,44.01566
31.41633,31.3103,31.54121,47.64529,140.40318,68.907,43.8542
31.64919,31.82904,30.9995,47.38046,138.92603,68.33821,44.06029
33.23489,36.47929,30.82345,50.04068,143.14329,68.68632,44.21883
38.6765,42.45615,33.88013,55.70336,155.81288,78.82033,49.08782
51.02689,60.77079,38.44029,77.54599,180.96958,93.06591,53.99482
49.3515,56.12605,34.32198,82.31736,191.0229,82.79316,50.00001
35.51421,50.96983,27.70748,58.95,182.73304,67.55985,32.24428
30.46813,44.77955,21.39403,52.33741,162.92,55.6113,21.02931
25.47433,41.77403,15.32383,48.20666,151.34,45.92692,19.80865
22.36303,39.76636,13.47351,45.75161,144.53872,39.77105,18.72471
19.63325,35.80311,10.54783,44.68855,139.0691,32.14394,17.70236
18.52341,31.78031,8.7678,43.22716,138.46878,28.61549,15.40764
21.00528,34.33994,14.24233,47.11,138.36652,34.25759,16.18765
32.93227,43.17299,25.16075,57.9216,150.57179,64.21868,25.34186
48.29461,53.32979,35.37507,75.02268,189.15849,89.04351,44.83139
68.1399,65.74099,49.81872,91.00986,201.53258,93.88118,47.02942
66.03313,59.14156,48.19198,83.37178,194.39868,93.43266,46.24861
58.90033,55.92997,41.06445,75.42845,190.30165,92.34922,45.45144
51.27045,52.56039,39.13446,69.19956,185.13673,92.50563,45.14222
42.21574,49.07,37.03166,63.31526,178.55758,92.6235,45.43037
38.99061,40.76974,33.21387,59.27034,168.8016,80,44.85523
35.40877,36.66797,31.56211,53.65006,161.82,75.24573,43.77359
34.37167,35.54796,30.61625,46.74464,152.04484,71.40032,40.81384
32.6678,32.36084,29.75201,46.24,145.37238,70.85414,39.87173
31.74955,30.72112,29.64601,45.38761,143.54,70.7241,40.91075
31.05573,30.74314,29.60026,45.27388,144.34638,70.75343,40.53749
34.3443,31.85181,30.51724,46.43756,152.14882,72.06291,40.94426
40.32079,35.75807,36.58848,52.88668,170.46308,84.08874,40.93271
52.10157,37.67773,45.04537,69.27804,188.29945,100.82428,43.00932
48.61977,37.96177,45.34789,77.52538,186.26094,93.23842,41.03955
36.88935,32.8274,34.27107,56.12497,160.06442,74.39472,9.52544
33.23388,27.9979,30.50545,43.6732,146.88317,55.38127,-1.64166
27.9331,23.93794,25.22762,39.02151,138.39656,46.76485,-1.59019
27.36868,17.26676,23.6229,35.08532,137.99629,42.22604,-1.22639
25.35313,15.0279,22.9451,33.02784,134.89126,40.03465,-2.67047
